,X,y,data_index
334,[ 68.  67. 163.  22.  18.  24.],65.0,[  8 948]
335,[ 65.  68. 160.  28.  22.  18.],65.0,[  8 949]
336,[ 65.  65. 145.  19.  28.  22.],84.0,[  8 950]
337,[ 84.  65. 145.  10.  19.  28.],89.0,[  8 951]
338,[ 89.  84. 164.  38.  10.  19.],86.0,[  8 952]
339,[107. 111. 171.  36.  12.  69.],78.0,[  8 956]
340,[ 78. 107. 184.   9.  36.  12.],95.0,[  8 957]
341,[ 95.  78. 181.  37.   9.  36.],92.0,[  8 958]
342,[100.  69. 166.  59.  39.  63.],94.0,[  8 962]
343,[ 94. 100. 200.  45.  59.  39.],112.0,[  8 963]
344,[112.  94. 220.  29.  45.  59.],109.0,[  8 964]
345,[109. 112. 190.  18.  29.  45.],104.0,[  8 965]
346,[104. 109. 230.  57.  18.  29.],110.0,[  8 966]
347,[110. 104. 224.  12.  57.  18.],119.0,[  8 967]
348,[ 4.  2. 11.  3.  3.  1.],1.0,[  9 926]
349,[ 1.  4. 14.  2.  3.  3.],1.0,[  9 927]
350,[1. 1. 9. 1. 2. 3.],3.0,[  9 928]
351,[3. 1. 6. 1. 1. 2.],4.0,[  9 929]
352,[4. 3. 3. 3. 1. 1.],2.0,[  9 930]
353,[ 5.  1. 14.  1.  2.  1.],5.0,[  9 946]
354,[5. 5. 2. 2. 1. 2.],2.0,[  9 947]
355,[ 2.  2. 10.  3.  1.  1.],1.0,[  9 964]
356,[ 1.  2. 15.  4.  3.  1.],4.0,[  9 965]
357,[ 4.  1. 15.  3.  4.  3.],4.0,[  9 966]
358,[ 4.  4. 18.  4.  3.  4.],2.0,[  9 967]
359,[133.  86. 413.  77.  34.  80.],151.0,[ 10 923]
360,[151. 133. 339.  16.  77.  34.],151.0,[ 10 924]
361,[151. 151. 304.  83.  16.  77.],163.0,[ 10 925]
362,[163. 151. 320.  74.  83.  16.],169.0,[ 10 926]
363,[169. 163. 340.  24.  74.  83.],174.0,[ 10 927]
364,[174. 169. 364.  84.  24.  74.],159.0,[ 10 928]
365,[159. 174. 327.  13.  84.  24.],195.0,[ 10 929]
366,[195. 159. 339.  62.  13.  84.],186.0,[ 10 930]
367,[186. 195. 347.  79.  62.  13.],176.0,[ 10 931]
368,[176. 186. 333.  34.  79.  62.],162.0,[ 10 932]
369,[162. 176. 319.  60.  34.  79.],163.0,[ 10 933]
370,[163. 162. 313.  47.  60.  34.],165.0,[ 10 934]
371,[165. 163. 296.  64.  47.  60.],155.0,[ 10 935]
372,[155. 165. 307.  39.  64.  47.],150.0,[ 10 936]
373,[150. 155. 300.  73.  39.  64.],144.0,[ 10 937]
374,[144. 150. 326.  13.  73.  39.],160.0,[ 10 938]
375,[160. 144. 292.  51.  13.  73.],165.0,[ 10 939]
376,[165. 160. 281.  20.  51.  13.],148.0,[ 10 940]
377,[148. 165. 294.  70.  20.  51.],157.0,[ 10 941]
378,[157. 148. 342.  33.  70.  20.],161.0,[ 10 942]
379,[161. 157. 282.  49.  33.  70.],182.0,[ 10 943]
380,[182. 161. 305.  63.  49.  33.],197.0,[ 10 944]
381,[197. 182. 308.  55.  63.  49.],180.0,[ 10 945]
382,[180. 197. 309.  52.  55.  63.],139.0,[ 10 946]
383,[139. 180. 304.  38.  52.  55.],158.0,[ 10 947]
384,[158. 139. 326.  54.  38.  52.],146.0,[ 10 948]
385,[146. 158. 303.  57.  54.  38.],170.0,[ 10 949]
386,[170. 146. 289.  38.  57.  54.],187.0,[ 10 950]
387,[187. 170. 298.  29.  38.  57.],138.0,[ 10 951]
388,[138. 187. 351.  77.  29.  38.],160.0,[ 10 952]
389,[153. 142. 257.  64.  21.  75.],142.0,[ 10 956]
390,[142. 153. 288.   6.  64.  21.],122.0,[ 10 957]
391,[122. 142. 235.  51.   6.  64.],146.0,[ 10 958]
392,[152. 127. 254.  71.  40.  75.],163.0,[ 10 962]
393,[163. 152. 320.  48.  71.  40.],150.0,[ 10 963]
394,[150. 163. 329.  29.  48.  71.],178.0,[ 10 964]
395,[178. 150. 366.  32.  29.  48.],188.0,[ 10 965]
396,[188. 178. 372.  70.  32.  29.],199.0,[ 10 966]
397,[199. 188. 366.  16.  70.  32.],169.0,[ 10 967]
398,[153.  58. 292.  51.  18.  50.],139.0,[ 11 923]
399,[139. 153. 217.  10.  51.  18.],150.0,[ 11 924]
400,[150. 139. 248.  35.  10.  51.],140.0,[ 11 925]
401,[140. 150. 259.  41.  35.  10.],136.0,[ 11 926]
402,[136. 140. 268.  26.  41.  35.],145.0,[ 11 927]
403,[145. 136. 244.  45.  26.  41.],140.0,[ 11 928]
404,[140. 145. 308.   5.  45.  26.],123.0,[ 11 929]
405,[123. 140. 263.  33.   5.  45.],117.0,[ 11 930]
406,[117. 123. 213.  36.  33.   5.],124.0,[ 11 931]
407,[124. 117. 251.  20.  36.  33.],114.0,[ 11 932]
408,[114. 124. 237.  39.  20.  36.],117.0,[ 11 933]
409,[117. 114. 217.  35.  39.  20.],134.0,[ 11 934]
410,[134. 117. 229.  38.  35.  39.],103.0,[ 11 935]
411,[103. 134. 211.  30.  38.  35.],108.0,[ 11 936]
412,[108. 103. 233.  46.  30.  38.],107.0,[ 11 937]
413,[107. 108. 238.   8.  46.  30.],103.0,[ 11 938]
414,[103. 107. 256.  55.   8.  46.],103.0,[ 11 939]
415,[103. 103. 232.  22.  55.   8.],123.0,[ 11 940]
416,[123. 103. 239.  56.  22.  55.],108.0,[ 11 941]
417,[108. 123. 263.  20.  56.  22.],115.0,[ 11 942]
418,[115. 108. 205.  48.  20.  56.],113.0,[ 11 943]
419,[113. 115. 237.  37.  48.  20.],121.0,[ 11 944]
420,[121. 113. 199.  46.  37.  48.],94.0,[ 11 945]
421,[ 94. 121. 228.  32.  46.  37.],108.0,[ 11 946]
422,[108.  94. 237.  41.  32.  46.],123.0,[ 11 947]
